    N   =   10000
      x:            y:             z:          PE:            KE:
     -5.5245210      18.158882     0.13918778
     -5.5657602      18.145161     0.13967133
     -5.6069711      18.131348     0.14015417
     -5.6481534      18.117443     0.14063629
     -5.6893068      18.103445     0.14111770
     -5.7304313      18.089355     0.14159839
     -5.7715265      18.075172     0.14207835
     -5.8125922      18.060897     0.14255759
     -5.8536283      18.046530     0.14303610
     -5.8946344      18.032072     0.14351389
     -5.9356105      18.017520     0.14399093
     -5.9765563      18.002878     0.14446725
     -6.0174715      17.988143     0.14494282
     -6.0583560      17.973316     0.14541766
     -6.0992095      17.958397     0.14589175
     -6.1400318      17.943387     0.14636509
     -6.1808228      17.928285     0.14683769
     -6.2215821      17.913091     0.14730954
     -6.2623097      17.897806     0.14778063
     -6.3030052      17.882429     0.14825097
     -6.3436685      17.866961     0.14872054
     -6.3842993      17.851402     0.14918936
     -6.4248974      17.835751     0.14965742
     -6.4654627      17.820009     0.15012471
     -6.5059949      17.804175     0.15059123
     -6.5464938      17.788251     0.15105697
     -6.5869591      17.772236     0.15152195
     -6.6273907      17.756129     0.15198615
     -6.6677884      17.739932     0.15244957
     -6.7081519      17.723644     0.15291221
     -6.7484811      17.707265     0.15337407
     -6.7887757      17.690795     0.15383514
     -6.8290355      17.674235     0.15429542
     -6.8692602      17.657584     0.15475491
     -6.9094498      17.640843     0.15521360
     -6.9496039      17.624011     0.15567151
     -6.9897224      17.607089     0.15612861
     -7.0298051      17.590076     0.15658491
     -7.0698517      17.572974     0.15704041
     -7.1098620      17.555781     0.15749510
     -7.1498359      17.538498     0.15794898
     -7.1897730      17.521125     0.15840206
     -7.2296733      17.503663     0.15885432
     -7.2695364      17.486110     0.15930576
     -7.3093622      17.468468     0.15975639
     -7.3491505      17.450736     0.16020620
     -7.3889011      17.432914     0.16065518
     -7.4286137      17.415003     0.16110334
     -7.4682881      17.397002     0.16155067
     -7.5079242      17.378912     0.16199717
     -7.5475217      17.360733     0.16244284
     -7.5870804      17.342465     0.16288767
     -7.6266001      17.324107     0.16333166
     -7.6660806      17.305660     0.16377482
     -7.7055217      17.287125     0.16421713
     -7.7449232      17.268500     0.16465860
     -7.7842848      17.249787     0.16509922
     -7.8236064      17.230985     0.16553900
     -7.8628878      17.212094     0.16597792
     -7.9021287      17.193115     0.16641598
     -7.9413290      17.174047     0.16685319
     -7.9804884      17.154891     0.16728955
     -8.0196067      17.135647     0.16772504
     -8.0586837      17.116314     0.16815966
     -8.0977193      17.096893     0.16859342
     -8.1367132      17.077385     0.16902632
     -8.1756651      17.057788     0.16945834
     -8.2145750      17.038103     0.16988949
     -8.2534426      17.018331     0.17031976
     -8.2922676      16.998471     0.17074916
     -8.3310499      16.978523     0.17117768
     -8.3697893      16.958488     0.17160531
     -8.4084856      16.938365     0.17203206
     -8.4471386      16.918156     0.17245793
     -8.4857480      16.897858     0.17288290
     -8.5243136      16.877474     0.17330698
     -8.5628353      16.857003     0.17373017
     -8.6013129      16.836445     0.17415247
     -8.6397460      16.815799     0.17457386
     -8.6781347      16.795068     0.17499436
     -8.7164785      16.774249     0.17541395
     -8.7547774      16.753344     0.17583264
     -8.7930312      16.732352     0.17625042
     -8.8312395      16.711275     0.17666729
     -8.8694023      16.690110     0.17708325
     -8.9075193      16.668860     0.17749829
     -8.9455903      16.647523     0.17791242
     -8.9836152      16.626101     0.17832563
     -9.0215936      16.604593     0.17873792
     -9.0595255      16.582999     0.17914928
     -9.0974105      16.561319     0.17955972
     -9.1352486      16.539553     0.17996923
     -9.1730395      16.517703     0.18037782
     -9.2107830      16.495766     0.18078547
     -9.2484789      16.473745     0.18119218
     -9.2861270      16.451638     0.18159796
     -9.3237272      16.429447     0.18200280
     -9.3612791      16.407170     0.18240670
     -9.3987826      16.384809     0.18280966
     -9.4362376      16.362362     0.18321167
     -9.4736437      16.339831     0.18361274
     -9.5110009      16.317216     0.18401285
     -9.5483088      16.294516     0.18441202
     -9.5855674      16.271732     0.18481023
     -9.6227764      16.248864     0.18520748
     -9.6599356      16.225911     0.18560378
     -9.6970448      16.202875     0.18599911
     -9.7341038      16.179754     0.18639348
     -9.7711125      16.156550     0.18678689
     -9.8080706      16.133262     0.18717933
     -9.8449779      16.109891     0.18757080
     -9.8818342      16.086436     0.18796130
     -9.9186393      16.062898     0.18835083
     -9.9553931      16.039277     0.18873938
     -9.9920954      16.015572     0.18912695
     -10.028746      15.991785     0.18951355
     -10.065344      15.967915     0.18989916
     -10.101891      15.943962     0.19028379
     -10.138385      15.919926     0.19066743
     -10.174826      15.895808     0.19105009
     -10.211215      15.871607     0.19143175
     -10.247551      15.847324     0.19181242
     -10.283834      15.822959     0.19219210
     -10.320063      15.798512     0.19257078
     -10.356239      15.773983     0.19294846
     -10.392361      15.749372     0.19332514
     -10.428429      15.724679     0.19370082
     -10.464443      15.699905     0.19407550
     -10.500403      15.675049     0.19444917
     -10.536309      15.650112     0.19482182
